Tr.,MFG,KV,MVA,Age,Year Test,O2,N2,CO2,CO,H2,CH4,C2H2,C2H4,C2H6,C3H6,C3H8,TCG,TEMP,WATER,year_num,R1,R2,R3,R4,R5,Duval_Total,IRM_fault,DRM_fault,RRM_fault,DTM_fault,DPM_fault,fault_majority_vote,faults_index
5.0,ABB,115/22,50,13,2021,22472,63915,1003.0,282.0,17.0,1,20.0,35.0,55.0,25.0,37.0,300.0,46,9,6,0.058823529411764705,0.5714285714285714,20.0,2.75,0.6363636363636364,56.0,F1,Uncertain,Uncertain,Uncertain,Uncertain,F1,2
5.0,ABB,115/22,50,13,2022,13322,70115,1274.0,436.0,5.0,5,20.0,1.0,55.0,2.0,37.0,449.0,35,13,7,1.0,20.0,4.0,2.75,0.01818181818181818,26.0,F1,Uncertain,Uncertain,PD,Uncertain,F1,2
5.0,ABB,115/22,50,13,2023,20020,58380,950.0,160.0,31.0,60,20.0,35.0,1.0,4.0,37.0,196.0,48,14,8,1.935483870967742,0.5714285714285714,0.3333333333333333,0.05,35.0,115.0,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,7
5.0,ABB,115/22,50,13,2024,25570,68190,2341.0,279.0,5.0,2,20.0,35.0,55.0,2.0,37.0,288.0,49,9,9,0.4,0.5714285714285714,10.0,2.75,0.6363636363636364,57.0,F1,Uncertain,Uncertain,Uncertain,Uncertain,F1,2
6.0,MITSUBISHI,115/22,50,25,2021,11532,53926,2020.0,70.0,29.0,59,20.0,35.0,219.0,25.0,148.0,525.0,62,20,6,2.0344827586206895,0.5714285714285714,0.3389830508474576,10.95,0.1598173515981735,114.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
6.0,MITSUBISHI,115/22,50,25,2022,3128,39156,3338.0,140.0,32.0,94,20.0,35.0,586.0,25.0,115.0,967.0,36,18,7,2.9375,0.5714285714285714,0.2127659574468085,29.3,0.059726962457337884,149.0,F1,Uncertain,Uncertain,Uncertain,Uncertain,F1,2
6.0,MITSUBISHI,115/22,50,25,2023,2513,37051,2740.0,112.0,44.0,82,20.0,35.0,261.0,25.0,170.0,669.0,58,17,8,1.8636363636363635,0.5714285714285714,0.24390243902439024,13.05,0.13409961685823754,137.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
6.0,MITSUBISHI,115/22,50,25,2024,4431,42556,2231.0,84.0,16.0,69,20.0,6.0,208.0,25.0,114.0,497.0,44,26,9,4.3125,3.3333333333333335,0.2898550724637681,10.4,0.028846153846153848,95.0,F1,Uncertain,Uncertain,T1,T3,F1,2
6.0,MITSUBISHI,115/22,50,25,2021,6420,50210,2300.0,90.0,33.0,70,20.0,35.0,166.0,17.0,126.0,502.0,57,17,6,2.121212121212121,0.5714285714285714,0.2857142857142857,8.3,0.21084337349397592,125.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
6.0,MITSUBISHI,115/22,50,25,2022,6023,46054,3290.0,20.0,50.0,25,20.0,6.0,296.0,25.0,150.0,547.0,58,15,7,0.5,3.3333333333333335,0.8,14.8,0.02027027027027027,51.0,F1,Uncertain,Uncertain,PD,Uncertain,F1,2
